ID,Title,CompanyName,FundRaiseAmount,RaisedFundAmount,InvestorsCount,ExpectedReturnRate,CollateralType,Duration,FundRaisingEndDate,PlatformID,PlatformName,PlatformCode,URL,BannerURL,PlatformWebsite
6700f93733c0307229f1510c,تامین سرمایه در گردش تولید ارده,شرکت طعم ماندگار ترنگ اردکان,50000000000,50000000000,168,42.000000,با ضمانت بانک ملی ایران,12 ماه,2025-10-16T00:00:00.000Z,66bb1726b00764d4281ff2f7,زیما,zeema,/api/fund-raises/resolve?id=6700f93733c0307229f1510c,https://carinx.ir/files/1365f833e49520855aaa679e658d5944da3d61bd4889aefc30730e72297d3dae.jpg,zeema.fund
6700f93733c0307229f1510f,تامین مالی خرید یونیت نیتروژن ساز پالایشگاه تبریز,آریااروند,100000000000,100000000000,361,44.000000,چک شخص ثالث,12 ماه,2025-09-21T00:00:00.000Z,66bb1726b00764d4281ff2f7,زیما,zeema,/api/fund-raises/resolve?id=6700f93733c0307229f1510f,https://carinx.ir/files/6aba429440334eecd19f98c5b5367748a4f41f81beb2c8f1920893b5912aaba9.jpg,zeema.fund
6700f93733c0307229f15112,تامین مالی سرمایه در گردش تولید داروی ضد سرطان پاکلینب,نانو دارو پژوهان پردیس,99999998030,99999998030,325,46.000000,چک شخص ثالث,12 ماه,2025-09-17T00:00:00.000Z,66bb1726b00764d4281ff2f7,زیما,zeema,/api/fund-raises/resolve?id=6700f93733c0307229f15112,https://carinx.ir/files/f5338ac58c857c8687cbff66ce27e441cc762fd3de126c26faded772cdaa6395.jpg,zeema.fund
678fa19162036fc35e6dd464," تامین سرمایه در گردش خرید قطعات یدکی ماشین‌آلات چاپ و بسته‌بندی ",شرکت ترام چاپ سپاهان (سهامی خاص),250000000000,250000000000,0,40.000000,ضمانت بانکی اصل سرمایه/فاقد تضمین سود,12,2025-02-19T20:30:00.000Z,6710a50101b4f1cf53540c9b,پولسار,pulsar,/api/fund-raises/resolve?id=678fa19162036fc35e6dd464,https://carinx.ir/files/6f571481fa8222f40b0ad5105d12bf74881ce1dd68d0e893e82155d86bb94579.jpg.jpg,pulsar.ir
678f9a860c6c1ca7a390b44f,اسیدکاری چاه‌های تعمیراتی نفت,تدبیر پترو انرژی اسپادانا اروند,150000000000,22684200000,61,43.000000,ضمانت‌نامه تعهد پرداخت اصل سرمایه (بدون تضمین سود),12 ماهه,2025-02-19T20:30:00.000Z,6666883dc443c3217a786787,کارن کراد,karencrowd,/api/fund-raises/resolve?id=678f9a860c6c1ca7a390b44f,https://carinx.ir/files/551e67f25f7d7514f975a6681b7d91b912f5e1467c0ac5cfb9bcc972eb2a442b.jpg,karencrowd.com
678ba613bf441b1b19a181e8,تامین سرمایه در گردش تولید محصولات بر پایه مرکب,شرکت بسته بندی صنعتی چاپ طلای ارومیه,90009000000,32403240000,93,41.000000,ضمانت بانک ملی ایران,12 ماه,2025-02-17T00:00:00.000Z,66bb1726b00764d4281ff2f7,زیما,zeema,/api/fund-raises/resolve?id=678ba613bf441b1b19a181e8,https://carinx.ir/files/6e3d4f70a5e343ae0611df094d89b58c499fc097a69aee6f24eac4c84ffe7e58.jpg.jpg,zeema.fund
678b82c9bb530679a14b034d,تامین سرمایه در گردش جهت تولید انواع منیفولد,مژده وصل شیراز,200000000000,200000000000,214,41.500000,اصل سرمایه,دوازده ماهه,2025-02-16T20:30:00.000Z,66654ff356281b865f07d8e8,هم آفرین,hamafarin,/api/fund-raises/resolve?id=678b82c9bb530679a14b034d,https://carinx.ir/files/b3cd279957f456d18433f7a59270ef5c9a0577fbf59ae0c3ff4486eefa692966.jpg.jpg,hamafarin.ir
67850e7fc37f989cd4c0b420,تامین مالی سرمایه در گردش تولید و فروش بطری PET با گرید دارویی,پردیس پلاست کویر (10860115166),33958001000,23091440680,113,41.000000,ضمانت صندوق پژوهش و فناوری شریف,12 ماه,2025-02-12T00:00:00.000Z,66bb1726b00764d4281ff2f7,زیما,zeema,/api/fund-raises/resolve?id=67850e7fc37f989cd4c0b420,https://carinx.ir/files/0fba0ccb882f1b6c9e4453c6f97f8d819a921aa1b600a8c0b5e74c2a10f688b4.jpg.jpg,zeema.fund
67852a9bcbe059ea9fe8b7a7,برگزاری دوره‌های آموزشی بین‌المللی هوشمندسازی,دانش مان اینترنت اشیا,100000000000,100126594000,301,45.000000,ضمانت‌نامه تعهد پرداخت اصل سرمایه,12 ماهه,2025-02-11T20:30:00.000Z,6666883dc443c3217a786787,کارن کراد,karencrowd,/api/fund-raises/resolve?id=67852a9bcbe059ea9fe8b7a7,https://carinx.ir/files/28eabb4e0b93a79b90d1fb74f64d8ba2ba5a7801356ec6ebfca198730c75107f.jpg,karencrowd.com
678500606a24785652eee370,تامین سرمایه در گردش جهت فروش بلیت پرواز چارتر داخلی,ایدآل سفر پارسیان,200000000000,200000000000,347,42.000000,اصل سرمایه,دوازده ماهه,2025-02-11T20:30:00.000Z,66654ff356281b865f07d8e8,هم آفرین,hamafarin,/api/fund-raises/resolve?id=678500606a24785652eee370,https://carinx.ir/files/aacbb68d9437a8ec6469eaed84c96028d85daf4889fd45dc775938e1eb123789.jpg.jpg,hamafarin.ir
